low,high,mean,prob,state,t
0.4978197823249049,0.6019650054743968,0.5500399509246927,NA,--,2016-02-29
0.4990424254213092,0.6025613800775137,0.5509980862270432,NA,--,2016-03-01
0.4991359863896994,0.601997956675197,0.550696553310608,NA,--,2016-03-02
0.499089706269493,0.6013619775231163,0.5503698790183027,NA,--,2016-03-03
0.4971511626698478,0.5989576485388854,0.5481478781219861,NA,--,2016-03-04
0.4977861953049594,0.5995642218997231,0.5486010670146821,NA,--,2016-03-05
0.4986238611236574,0.6000307275364299,0.5493653219066895,NA,--,2016-03-06
0.49549734408482743,0.5969164794334841,0.5462169876919764,NA,--,2016-03-07
0.49218370594877575,0.5940350700031158,0.5432407457610953,NA,--,2016-03-08
0.4923472732813762,0.5940055900797444,0.5431933489703936,NA,--,2016-03-09
0.49207415481243777,0.5940616804186976,0.5432142807809298,NA,--,2016-03-10
0.4946804047762598,0.5961251986147811,0.5454876524580788,NA,--,2016-03-11
0.49443113984103615,0.595943606888806,0.5453173854554129,NA,--,2016-03-12
0.49421360314014384,0.5958113879143343,0.5450543098889482,NA,--,2016-03-13
0.49556709065238314,0.5968990279331162,0.546337308426698,NA,--,2016-03-14
0.49713553191957005,0.5983229537001238,0.5477993566797814,NA,--,2016-03-15
0.49886489502608616,0.5994860689608094,0.549273755947493,NA,--,2016-03-16
0.49939969817061447,0.5997534901292708,0.5497913314079411,NA,--,2016-03-17
0.4999013419109388,0.600109991053417,0.5502370683001377,NA,--,2016-03-18
0.5012969341721403,0.6013761950747892,0.5514993026601267,NA,--,2016-03-19
0.5009270707976979,0.6012407177768228,0.5513457629126095,NA,--,2016-03-20
0.49982791635553514,0.6003132388561908,0.5503212478465448,NA,--,2016-03-21
0.4987537654835741,0.5994210642337457,0.5494527859621896,NA,--,2016-03-22
0.4979444289075089,0.5988055282346717,0.5487067134996663,NA,--,2016-03-23
0.49711620100568976,0.5977845971790441,0.5477547222428173,NA,--,2016-03-24
0.4978927823461252,0.5984333495345855,0.54855192730140645,NA,--,2016-03-25
