t,mean_dem_ev,median_dem_ev,high_dem_ev,low_dem_ev,sum_dem_ev
2016-02-29,370.01033333333334,374,462,257.975,374
2016-03-01,372.1503333333333,374,463,260,374
2016-03-02,371.4356666666667,374,460.0250000000001,259,374
2016-03-03,370.86033333333336,374,460,260,374
2016-03-04,366.2203333333333,371,457,253,374
2016-03-05,367.2776666666667,372,460,257.975,374
2016-03-06,368.6306666666667,372.5,460,258,374
2016-03-07,362.415,366,454,249,374
2016-03-08,356.082,359,451,241.97500000000002,374
2016-03-09,355.50533333333334,359,449,240,359
2016-03-10,355.8546666666667,359,451.0250000000001,240,374
2016-03-11,360.772,365,454,246,374
2016-03-12,360.457,364,454,246,374
2016-03-13,359.86033333333336,363,454,244,374
2016-03-14,362.7896666666667,367,456.0250000000001,246.975,374
2016-03-15,365.891,371,459,252,374
2016-03-16,369.0353333333333,373,460,256,374
2016-03-17,370.359,374,460,256,374
2016-03-18,370.937,374,462,259,374
2016-03-19,373.6383333333333,377,462,260,374
2016-03-20,373.55266666666665,377,463,259,374
2016-03-21,371.16066666666666,374,463,256,374
2016-03-22,369.448,374,460,258,374
2016-03-23,367.9483333333333,373,458.0250000000001,255,374
2016-03-24,366.1086666666667,372,457,252,374
2016-03-25,367.65566666666666,372,457,253,374
2016-03-26,370.69533333333334,374,460,258,374
2016-03-27,377.90366666666665,380,465,265.975,374
2016-03-28,385.982,387.5,471,283,383
2016-03-29,388.77733333333333,389,474,285,383
2016-03-30,391.52066666666667,391.5,474,293,393
2016-03-31,385.7223333333333,386,471,281,383
2016-04-01,376.46366666666665,380,463,265.975,374
2016-04-02,368.7393333333333,374,457,258,374
2016-04-03,361.1566666666667,367,452,246,374
2016-04-04,357.5466666666667,363,448,241.95000000000002,374
2016-04-05,359.38966666666664,366,449,243,374
2016-04-06,361.845,368,451.0250000000001,247.95000000000002,374
2016-04-07,367.99,374,457,253,374
2016-04-08,370.41133333333335,374,460,256,374
2016-04-09,370.9223333333333,374,458.0250000000001,259,374
2016-04-10,372.34133333333335,375,460,261,374
2016-04-11,373.71233333333333,377,460,260.975,374
2016-04-12,371.50333333333333,374,460,260,374
2016-04-13,369.9103333333333,374,456,259,374
2016-04-14,369.6723333333333,374,458,259,374
2016-04-15,369.9653333333333,374,457,258,374
2016-04-16,369.724,374,457,256,374
2016-04-17,369.45,374,457,259,374
2016-04-18,370.066,374,457,259.975,374
2016-04-19,366.0966666666667,371,455,253,374
2016-04-20,362.496,367,451,252,374
2016-04-21,360.06466666666665,363,451,246,374
2016-04-22,356.5493333333333,361,448,240,374
2016-04-23,353.87533333333334,358,445.0250000000001,240,374
2016-04-24,351.59933333333333,358,445,237,347
2016-04-25,348.9266666666667,357,443,234,347
2016-04-26,344.15166666666664,350,438.0250000000001,229,347
2016-04-27,340.8763333333333,347,436,227,347
2016-04-28,340.40433333333334,347,436,227,347
2016-04-29,334.583,343,430,220,347
2016-04-30,330.7903333333333,339.5,427,220,332
2016-05-01,326.6143333333333,333,424,211.97500000000002,332
2016-05-02,323.84933333333333,332,421.0250000000001,210.975,332
2016-05-03,320.8256666666667,332,421,206.975,332
2016-05-04,318.3976666666667,326,417.0250000000001,205.97500000000002,332
2016-05-05,318.15,326,418,203,332
2016-05-06,320.218,330,418,207,332
2016-05-07,312.9526666666667,323,412.0500000000002,201,332
2016-05-08,306.20466666666664,312,402.0250000000001,195.97500000000002,326
2016-05-09,298.60766666666666,303,398.0250000000001,187,326
2016-05-10,294.82033333333334,300,393,182.975,326
2016-05-11,292.93733333333336,297,392.0250000000001,183,326
2016-05-12,291.666,297,390.0250000000001,182.975,326
2016-05-13,293.68766666666664,297,393,182,326
2016-05-14,293.74833333333333,298.5,393,182,326
2016-05-15,294.186,297,393,182,326
2016-05-16,291.89933333333335,297,391.0250000000001,180,320
2016-05-17,292.35133333333334,297,393,180.97500000000002,326
2016-05-18,295.593,301,395.0250000000001,184.97500000000002,326
2016-05-19,294.615,300,395,184,326
2016-05-20,296.0636666666667,302,396,184,326
2016-05-21,297.54333333333335,303,396,184,326
2016-05-22,300.064,306,396.0750000000003,186,326
2016-05-23,300.24533333333335,306,399,189,326
2016-05-24,296.16266666666667,302,399,184,326
2016-05-25,294.24533333333335,297,396,184,326
2016-05-26,301.344,308,399,190,326
2016-05-27,306.5133333333333,314,408.0250000000001,193,326
2016-05-28,313.69,323,415,199,332
2016-05-29,320.9236666666667,332,418.0250000000001,205,332
2016-05-30,320.322,331,419.0500000000002,206,332
2016-05-31,317.17133333333334,326,415,205,332
2016-06-01,316.375,326,412,204,332
2016-06-02,321.69533333333334,332,418,208,332
2016-06-03,330.137,339,425.0250000000001,219,347
2016-06-04,340.10333333333335,347,431,231,347
2016-06-05,340.58566666666667,347,431,228.97500000000002,347
2016-06-06,339.2726666666667,347,431,226.975,347
2016-06-07,337.86633333333333,343.5,431.0500000000002,226,347
2016-06-08,334.78866666666664,343,430,221,347
2016-06-09,338.119,345,431,223.97500000000002,347
2016-06-10,341.27633333333335,347,436,230,347
2016-06-11,339.162,347,434.0500000000002,226,347
2016-06-12,339.6666666666667,347,431,227.97500000000002,347
2016-06-13,332.77,341,428,217,347
2016-06-14,328.01733333333334,336,421,214.975,347
2016-06-15,322.81966666666665,332,416.0500000000002,210,347
2016-06-16,320.86133333333333,332,418,210,347
2016-06-17,328.4936666666667,336,424,214.975,347
2016-06-18,334.968,343,428.0500000000002,221,347
2016-06-19,340.986,347,433.0250000000001,227,347
2016-06-20,336.154,343,430,226,347
2016-06-21,330.8516666666667,341,427,220,347
2016-06-22,330.599,341,428,220,347
2016-06-23,328.36133333333333,337,425.0500000000002,216.97500000000002,347
2016-06-24,327.846,337,427,215.97500000000002,347
2016-06-25,327.049,335,427,214,347
2016-06-26,319.69933333333336,329,418,207,347
2016-06-27,312.36833333333334,320,406,200,332
2016-06-28,308.6716666666667,317,405,194.975,332
2016-06-29,305.36133333333333,312,400.0250000000001,193,332
2016-06-30,305.443,312,402,191.97500000000002,332
2016-07-01,305.551,312,399.0250000000001,193.97500000000002,332
2016-07-02,307.936,315,402,194,332
2016-07-03,307.0196666666667,313,399,193,332
2016-07-04,299.996,303,396,189,326
2016-07-05,302.91633333333334,309,399,191,332
2016-07-06,306.01933333333335,312,399,196,332
2016-07-07,310.38666666666666,319,405,198.975,332
2016-07-08,302.126,308,399,191,332
2016-07-09,299.209,303,393,189,320
2016-07-10,292.798,297,390.0250000000001,186,291
2016-07-11,285.93666666666667,290,383,180,273
2016-07-12,283.87766666666664,288,382.0250000000001,180,273
2016-07-13,278.491,280,377,179,273
2016-07-14,279.68666666666667,281,377.0250000000001,179.97500000000002,273
2016-07-15,277.5076666666667,279,378,174.975,273
2016-07-16,276.03766666666667,279,377.0250000000001,174,273
2016-07-17,272.6433333333333,273,374.0250000000001,172,273
