t,mean_dem_ev,median_dem_ev,high_dem_ev,low_dem_ev,sum_dem_ev
2016-07-18,265.217,264,369.0750000000003,168,273
2016-07-19,255.768,251,366,161,249
2016-07-20,252.22833333333332,247,360.0250000000001,160,249
2016-07-21,259.82866666666666,256,366,164,253
2016-07-22,262.90866666666665,260,368,168,273
2016-07-23,273.525,273,376,173,273
2016-07-24,281.5683333333333,284,383,179.97500000000002,273
2016-07-25,289.47333333333336,297,384,181,273
2016-07-26,302.52233333333334,308,399,191,326
2016-07-27,319.20233333333334,328,412,207,347
2016-07-28,332.996,341,427,220,347
2016-07-29,339.75466666666665,347,431,229,347
2016-07-30,344.991,348,437,237,347
2016-07-31,349.7543333333333,357,440,240,347
2016-08-01,353.628,358,440,246,347
2016-08-02,350.286,357,440,240,347
2016-08-03,349.23633333333333,356,440,240,347
2016-08-04,351.05466666666666,357,440,243,347
2016-08-05,348.547,353,437,240,347
2016-08-06,353.39233333333334,358,440,244,347
2016-08-07,349.874,357,440,243.97500000000002,347
2016-08-08,347.588,352,437,237,347
2016-08-09,345.82733333333334,351,437,237,347
2016-08-10,345.9216666666667,350,437,236.97500000000002,347
2016-08-11,348.3353333333333,352,440,240,347
2016-08-12,347.754,352,437,240,347
2016-08-13,343.828,347,437,235.97500000000002,347
2016-08-14,340.3433333333333,347,434,231.97500000000002,347
2016-08-15,337.891,347,431,227.97500000000002,347
2016-08-16,333.2966666666667,341,428,221,347
2016-08-17,327.434,337,422,216,341
2016-08-18,320.99266666666665,332,415,206,341
2016-08-19,315.485,326,410,204.97500000000002,341
2016-08-20,320.63,332,415,206,341
2016-08-21,320.722,332,415,205,341
2016-08-22,322.689,332,415,207,341
2016-08-23,322.56233333333336,332,412,209,341
2016-08-24,319.03366666666665,328,412,207,341
2016-08-25,320.561,331,412.0250000000001,208.97500000000002,341
2016-08-26,318.514,326,412,205,341
2016-08-27,318.55566666666664,328,406,205,341
2016-08-28,318.6363333333333,329,412,205.97500000000002,341
2016-08-29,319.41333333333336,331,409.0250000000001,205.97500000000002,341
2016-08-30,317.09066666666666,326,406,205,341
2016-08-31,311.5253333333333,320,399,201,341
2016-09-01,307.30533333333335,315,396,197,341
2016-09-02,305.015,312,393,196,326
2016-09-03,302.477,308,393,195,308
2016-09-04,300.94,308,389,193,308
2016-09-05,300.253,308,389,192.97500000000002,308
2016-09-06,294.83133333333336,302,383,191,302
2016-09-07,290.614,297,380.0250000000001,187,302
2016-09-08,285.37166666666667,288,377,183.97500000000002,273
2016-09-09,282.0606666666667,284,374,182,273
2016-09-10,284.10366666666664,288,377,184,273
2016-09-11,287.817,293,377,187,302
2016-09-12,289.60766666666666,294,377,187,302
2016-09-13,296.78433333333334,304,383,191,308
2016-09-14,298.8546666666667,306,384,192,308
2016-09-15,293.8636666666667,299,383,188,302
2016-09-16,292.794,297,382,187,302
2016-09-17,293.9873333333333,299,383,187.97500000000002,302
2016-09-18,289.79266666666666,294,378,187,302
2016-09-19,290.44,297,378,187,302
2016-09-20,295.061,302,383,191,302
2016-09-21,298.1433333333333,304,383,194,308
2016-09-22,292.7246666666667,298,381,189.97500000000002,302
2016-09-23,292.029,297,381,188.97500000000002,302
2016-09-24,290.319,295,377,187,302
2016-09-25,302.291,308,387,196,323
2016-09-26,313.76033333333334,323,396,205,341
2016-09-27,323.508,332,410,217,341
2016-09-28,326.338,335,412,218,341
2016-09-29,331.71933333333334,341,416.0500000000002,224,341
2016-09-30,330.25233333333335,341,416,221.97500000000002,341
2016-10-01,327.72366666666665,337,415,219.97500000000002,341
2016-10-02,324.82666666666665,334,412,217,341
2016-10-03,324.2986666666667,334,412,216,341
2016-10-04,326.28566666666666,336,415,218.975,341
2016-10-05,327.4696666666667,339,415,221,341
2016-10-06,332.969,341,421,224,341
2016-10-07,335.9886666666667,343,424,228.97500000000002,341
2016-10-08,336.423,343,427,227,341
2016-10-09,340.31933333333336,347,430,235,347
2016-10-10,335.6856666666667,343,426.0250000000001,228,341
2016-10-11,334.37,341,424,227,341
2016-10-12,333.97366666666665,341,424,228,341
2016-10-13,337.91,344,430,231,341
2016-10-14,337.3786666666667,343,431,230,341
2016-10-15,333.19533333333334,341,427,224,341
2016-10-16,329.49033333333335,339,421,223,341
2016-10-17,328.50166666666667,337,421,220,341
2016-10-18,324.49133333333333,332,412,215.97500000000002,341
2016-10-19,319.84766666666667,325,410,213,323
2016-10-20,315.45433333333335,323,405.0250000000001,206.975,323
2016-10-21,326.1553333333333,334,415.0750000000003,217,341
2016-10-22,330.86333333333334,340,422,220.97500000000002,341
2016-10-23,325.521,334,421,215,341
2016-10-24,316.2993333333333,323,406,207,323
2016-10-25,306.66433333333333,313,396,197,323
2016-10-26,300.4603333333333,308,389,191.97500000000002,323
2016-10-27,304.886,312,393,196,323
2016-10-28,297.718,304,388.0250000000001,191,323
2016-10-29,297.53,303,388,191,323
2016-10-30,300.59,308,390.0500000000002,191,323
2016-10-31,297.986,304,389,191,323
2016-11-01,309.4773333333333,317,399,200,323
2016-11-02,310.8283333333333,318,400.0250000000001,200.97500000000002,323
2016-11-03,305.7873333333333,312,396,196,323
2016-11-04,303.6046666666667,308,394.0250000000001,196,323
2016-11-05,302.6376666666667,308,394,192,323
2016-11-06,302.832,308,393,193,323
2016-11-07,302.4773333333333,308,393,195,323
2016-11-08,302.4923333333333,308,393,195,323
