t,prob
2016-02-29,0.9566666666666667
2016-03-01,0.962
2016-03-02,0.961
2016-03-03,0.962
2016-03-04,0.9546666666666667
2016-03-05,0.9576666666666667
2016-03-06,0.9613333333333334
2016-03-07,0.945
2016-03-08,0.9266666666666666
2016-03-09,0.927
2016-03-10,0.9263333333333333
2016-03-11,0.9416666666666667
2016-03-12,0.939
2016-03-13,0.9363333333333334
2016-03-14,0.9433333333333334
2016-03-15,0.9526666666666667
2016-03-16,0.963
2016-03-17,0.962
2016-03-18,0.9606666666666667
2016-03-19,0.9656666666666667
2016-03-20,0.9636666666666667
2016-03-21,0.961
2016-03-22,0.9566666666666667
2016-03-23,0.9553333333333334
2016-03-24,0.951
2016-03-25,0.9523333333333334
2016-03-26,0.96
2016-03-27,0.974
2016-03-28,0.9853333333333333
2016-03-29,0.9876666666666667
2016-03-30,0.988
2016-03-31,0.984
2016-04-01,0.9733333333333334
2016-04-02,0.959
2016-04-03,0.942
2016-04-04,0.9333333333333333
2016-04-05,0.9366666666666666
2016-04-06,0.9446666666666667
2016-04-07,0.956
2016-04-08,0.962
2016-04-09,0.9643333333333334
2016-04-10,0.9673333333333334
2016-04-11,0.9703333333333334
2016-04-12,0.9653333333333334
2016-04-13,0.9653333333333334
2016-04-14,0.963
2016-04-15,0.9626666666666667
2016-04-16,0.9623333333333334
2016-04-17,0.964
2016-04-18,0.965
2016-04-19,0.9586666666666667
2016-04-20,0.9526666666666667
2016-04-21,0.9483333333333334
2016-04-22,0.9366666666666666
2016-04-23,0.929
2016-04-24,0.9236666666666666
2016-04-25,0.915
2016-04-26,0.896
2016-04-27,0.8856666666666667
2016-04-28,0.8856666666666667
2016-04-29,0.8616666666666667
2016-04-30,0.8436666666666667
2016-05-01,0.8216666666666667
2016-05-02,0.8096666666666666
2016-05-03,0.7966666666666666
2016-05-04,0.7866666666666666
2016-05-05,0.7823333333333333
2016-05-06,0.7963333333333333
2016-05-07,0.757
2016-05-08,0.7236666666666667
2016-05-09,0.6833333333333333
2016-05-10,0.656
2016-05-11,0.6416666666666667
2016-05-12,0.631
2016-05-13,0.65
2016-05-14,0.6566666666666666
2016-05-15,0.6573333333333333
2016-05-16,0.6416666666666667
2016-05-17,0.6423333333333333
2016-05-18,0.6683333333333333
2016-05-19,0.66
2016-05-20,0.6603333333333333
2016-05-21,0.6753333333333333
2016-05-22,0.683
2016-05-23,0.6923333333333334
2016-05-24,0.6623333333333333
2016-05-25,0.653
2016-05-26,0.6946666666666667
2016-05-27,0.7306666666666667
2016-05-28,0.765
2016-05-29,0.809
2016-05-30,0.8016666666666666
2016-05-31,0.788
2016-06-01,0.7816666666666666
2016-06-02,0.81
2016-06-03,0.8476666666666667
2016-06-04,0.8853333333333333
2016-06-05,0.8913333333333333
2016-06-06,0.885
2016-06-07,0.8813333333333333
2016-06-08,0.8713333333333333
2016-06-09,0.884
2016-06-10,0.897
2016-06-11,0.889
2016-06-12,0.8896666666666667
2016-06-13,0.863
2016-06-14,0.8406666666666667
2016-06-15,0.8153333333333334
2016-06-16,0.7976666666666666
2016-06-17,0.8433333333333334
2016-06-18,0.8683333333333333
2016-06-19,0.8936666666666667
2016-06-20,0.87
2016-06-21,0.848
2016-06-22,0.8483333333333334
2016-06-23,0.837
2016-06-24,0.8346666666666667
2016-06-25,0.8326666666666667
2016-06-26,0.798
2016-06-27,0.7643333333333333
2016-06-28,0.7383333333333333
2016-06-29,0.7176666666666667
2016-06-30,0.72
2016-07-01,0.723
2016-07-02,0.7336666666666667
2016-07-03,0.7376666666666667
2016-07-04,0.6943333333333334
2016-07-05,0.707
2016-07-06,0.7273333333333334
2016-07-07,0.7543333333333333
2016-07-08,0.7143333333333334
2016-07-09,0.687
2016-07-10,0.6456666666666667
2016-07-11,0.6096666666666667
2016-07-12,0.5923333333333334
2016-07-13,0.5576666666666666
2016-07-14,0.566
2016-07-15,0.555
2016-07-16,0.5453333333333333
2016-07-17,0.5226666666666666
2016-07-18,0.4676666666666667
2016-07-19,0.4073333333333333
2016-07-20,0.382
2016-07-21,0.43833333333333335
2016-07-22,0.45766666666666667
2016-07-23,0.523
2016-07-24,0.5786666666666667
