"state" "Black" "Hispanic" "Other" "White" "voterturnout"
"1" "AK" 14826.1494999309 13993.6486282443 65129.5215152839 221050.680356541 315000
"2" "AL" 560574.684519068 27229.6461425336 40786.5545971464 1437409.11474125 2066000
"3" "AR" 178443.724133362 29521.9341162953 30479.9494598072 888554.392290535 1127000
"4" "AZ" 123879.244903377 492317.156507508 188198.378295073 1865605.22029404 2670000
"5" "CA" 1011059.26505769 3216384.3652975 1932435.0628132 6940121.30683161 13100000
"6" "CO" 107308.556352302 339910.829981099 108642.781758782 2074137.83190782 2630000
"7" "CT" 157146.435253361 142379.445933734 58615.8940958371 1241858.22471707 1600000
"8" "DC" 140446.311494124 14176.3414376432 14606.5645903309 118770.782477902 288000
"9" "DE" 87180.1377448315 15114.6355759137 16595.8974040531 301109.329275202 420000
"10" "FL" 1458442.32700922 1494304.95453293 307640.659878849 6239612.058579 9500000
"11" "GA" 1350810.09126953 154094.766528625 131736.474966781 2538358.66723507 4175000
"12" "HI" 8796.22163701887 27021.5829269715 205070.21999212 109111.975443889 350000
"13" "IA" 44643.1834587658 39120.6936417834 32393.5018579945 1458842.62104146 1575000
"14" "ID" 2709.99087031833 38211.2836377047 22573.204481966 628505.521010011 692000
"15" "IL" 858289.010180216 462705.104844156 243747.932530827 3835257.9524448 5400000
"16" "IN" 254129.107241779 80112.5999577553 58148.2625104638 2322610.03029 2715000
"17" "KS" 61359.2141860144 58762.9339908133 44997.0462872072 909880.805535965 1075000
"18" "KY" 162857.719241733 27193.1534717847 26027.7658512132 1708921.36143527 1925000
"19" "LA" 638811.340866666 50063.0197908977 55869.8066018631 1285255.83274057 2030000
"20" "MA" 193039.96700507 187300.74716518 169019.220465053 2703640.0653647 3253000
"21" "MD" 770823.619260438 97035.4142363698 148798.424759507 1513342.54174369 2530000
"22" "ME" 3723.6912542204 7804.24787323005 17005.7056960664 711466.355176483 740000
"23" "MI" 693693.218595209 127105.347195271 152771.398371476 3826430.03583804 4800000
"24" "MN" 138178.213577583 60789.4169707024 141358.879289541 2599673.49016217 2940000
"25" "MO" 327518.513605395 60407.8163380123 76590.4441629819 2335483.22589361 2800000
"26" "MS" 429582.747089899 13848.8981467938 17188.9333385075 704379.421424799 1165000
"27" "MT" 0 10563.7753570166 36249.3721958845 463186.852447099 510000
"28" "NC" 1093951.58251892 133505.237202021 164929.858764576 3357613.32151448 4750000
"29" "ND" 3058.61144660407 6271.21562146302 21157.2123214674 319512.960610466 350000
"30" "NE" 33858.3165188417 35289.7435506038 18948.9713259354 746902.968604619 835000
"31" "NH" 7307.62512065695 16805.7885608491 17249.5575796123 690637.028738882 732000
"32" "NJ" 520161.062283497 395076.453630804 263828.628569996 2430933.8555157 3610000
"33" "NM" 17388.7288404606 297892.751331718 83102.1530756482 401616.366752173 8e+05
"34" "NV" 111413.977372432 156397.568255759 109589.755290827 752598.699080981 1130000
"35" "NY" 1134285.44181594 783676.491614606 452731.881863508 4804306.18470595 7175000
"36" "OH" 672414.843274401 96811.5339633335 135337.295934854 4595436.32682741 5500000
"37" "OK" 112312.474725307 60082.2158214344 193065.437470358 1089539.8719829 1455000
"38" "OR" 38333.9706493727 109213.392668446 119011.105532876 1663441.5311493 1930000
"39" "PA" 673478.727891689 209545.996537848 166847.834904485 4900127.44066598 5950000
"40" "RI" 20826.1514219531 27825.3820229054 17335.0314944115 359013.43506073 425000
"41" "SC" 579889.654061222 40860.0760357383 47677.4494074569 1431572.82049558 2100000
"42" "SD" 3810.26071503143 5936.11001451141 31043.1065800212 329710.522690436 370500
"43" "TN" 427072.252623479 48005.5053982785 55817.7339097496 1969104.50806849 2500000
"44" "TX" 1252115.25127034 2237321.07014497 388302.272187304 5072261.40639739 8950000
"45" "UT" 10071.0590563585 70578.6471731824 39720.9497742732 854629.343996186 975000
"46" "VA" 782880.237048088 177900.100007259 226690.57838789 2767529.08455676 3955000
"47" "VT" 3204.23293452604 3784.33792590703 7545.65988110309 310465.769258464 325000
"48" "WA" 121346.622558215 175996.325179931 318842.62038364 2583814.43187821 3200000
"49" "WI" 170805.654444497 91337.363075912 89694.8872677357 2583162.09521186 2935000
"50" "WV" 25901.2070319867 6157.17601655227 12776.17510837 684165.441843091 729000
"51" "WY" 2380.73895968079 16673.6087903072 8720.99421151538 231224.658038497 259000
