state,obama,romney,obama_count,romney_count,total_count,vap,state_name,ev,adult_pop_growth_2011_15
AL,38.36,60.55,795696,1255925,2074338,3600000,Alabama,9,0.021734156
AK,40.81,54.8,122640,164676,300495,517000,Alaska,3,0.033482632
AZ,44.59,53.65,1025232,1233654,2299254,4472000,Arizona,11,0.071607165
AR,36.88,60.57,394409,647744,1069468,2160000,Arkansas,6,0.020381099
CA,60.24,37.12,7854285,4839958,13038547,23572000,California,55,0.056435939
CO,51.49,46.13,1323101,1185243,2569520,3635000,Colorado,9,0.080479676
CT,58.06,40.73,905083,634892,1558960,2547000,Connecticut,7,0.017797973
DC,90.91,7.28,267070,21381,293764,464000,District of Columbia,3,0.080870047
DE,58.61,39.98,242584,165484,413921,678000,Delaware,3,0.05563393
FL,50.01,49.13,4237756,4163447,8474179,13542000,Florida,29,0.07322737
GA,45.48,53.3,1773827,2078688,3900050,6865000,Georgia,16,0.052603069
HI,70.55,27.84,306658,121015,434697,986000,Hawaii,4,0.047246979
ID,32.62,64.53,212787,420911,652274,1133000,Idaho,4,0.056379763
IL,57.6,40.73,3019512,2135216,5242014,8887000,Illinois,20,0.013323942
IN,43.93,54.13,1152887,1420543,2624534,4775000,Indiana,11,0.024577589
IA,51.99,46.18,822544,730617,1582180,2264000,Iowa,6,0.024450595
KS,37.99,59.71,440726,692634,1159971,2038000,Kansas,6,0.020848352
KY,37.8,60.49,679370,1087190,1797212,3286000,Kentucky,8,0.019419418
LA,40.58,57.78,809141,1152262,1994065,3343000,Louisiana,8,0.028718929
ME,56.27,40.98,401306,292276,713180,1054000,Maine,4,0.013199618
MD,61.97,35.9,1677844,971869,2707327,4096000,Maryland,10,0.039387467
MA,60.65,37.51,1921290,1188314,3167767,4700000,Massachusetts,11,0.043379274
MI,54.21,44.71,2564569,2115256,4730961,7317000,Michigan,16,0.017795558
MN,52.65,44.96,1546167,1320225,2936561,3915000,Minnesota,10,0.03389738
MS,43.79,55.29,562949,710746,1285584,2203000,Mississippi,6,0.016699929
MO,44.38,53.76,1223796,1482440,2757323,4525000,Missouri,10,0.020360473
MT,41.7,55.35,201839,267928,484048,779000,Montana,3,0.039549137
NE,38.03,59.8,302081,475064,794379,1330000,Nebraska,5,0.031301715
NV,52.36,45.68,531373,463567,1014918,1869000,Nevada,6,0.078723137
NH,51.98,46.4,369561,329918,710972,1022000,New Hampshire,4,0.027354774
NJ,58.38,40.59,2125101,1477568,3640292,5944000,New Jersey,14,0.026680111
NM,52.99,42.84,415335,335788,783758,1463000,New Mexico,5,0.016250268
NY,63.35,35.17,4485741,2490431,7081159,13302000,New York,29,0.026732983
NC,48.35,50.39,2178391,2270395,4505372,7030000,North Carolina,15,0.052033653
ND,38.69,58.32,124827,188163,322627,523000,North Dakota,3,0.094270388
OH,50.67,47.69,2827710,2661433,5580840,8658000,Ohio,18,0.015034921
OK,33.23,66.77,443547,891325,1334872,2748000,Oklahoma,7,0.033154616
OR,54.24,42.15,970488,754175,1789270,2832000,Oregon,7,0.05253463
PA,51.97,46.59,2990274,2680434,5753670,9677000,Pennsylvania,20,0.01307409
RI,62.7,35.24,279677,157204,446049,768000,Rhode Island,4,0.016216099
SC,44.09,54.56,865941,1071645,1964118,3512000,South Carolina,9,0.057210779
SD,39.87,57.89,145039,210610,363815,613000,South Dakota,3,0.042225644
TN,39.08,59.48,960709,1462330,2458577,4787000,Tennessee,11,0.038986467
TX,41.38,57.17,3308124,4569843,7993851,16302000,Texas,38,0.082473266
UT,24.75,72.79,251813,740600,1017440,1840000,Utah,6,0.075640981
VT,66.57,35.6,199239,92698,299290,496000,Vermont,3,0.011402581
VA,51.16,47.28,1971820,1822522,3854489,5844000,Virginia,13,0.04317003
WA,56.16,41.29,1755396,1290670,3125516,4861000,Washington,12,0.059110402
WV,35.54,62.3,238269,417655,670438,1467000,West Virginia,5,-0.004105891
WI,52.83,45.89,1620985,1407966,3068434,4283000,Wisconsin,10,0.02078458
WY,27.82,68.64,69286,170962,249061,435000,Wyoming,3,0.032295295
