AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KA,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0.843692678,-0.800849605,-0.291011984,0.669760013,-0.272881174,-0.739334427,-0.464959614,0.324316716,-0.501622211,0.785883451,1,-0.505870294,-0.330848427,-0.365967811,-0.320501787,-0.63895652,-0.45278783,-0.00366528,0.684236479,-0.416796015,0.014022232,-0.641617295,-0.594367451,-0.569953431,0.703097831,-0.254669432,-0.554758577,-0.520487685,-0.329460126,-0.404462495,-0.369419173,-0.39741945,-0.359668906,0.738132867,-0.369595101,-0.613353984,-0.100355904,-0.605747609,-0.22951313,-0.430063885,0.70452636,-0.439758374,0.673789232,-0.237103335,-0.496900539,-0.659654097,0.651678114,-0.618267146,-0.05302,-0.687417912,-0.563007985
-0.512457654,0.32432766,-0.566953987,-0.41125129,-0.227128024,0.479914888,0.583908455,-0.13416081,-0.196656354,-0.510360272,-0.505870294,1,-0.358344363,-0.196083256,0.178918815,0.201216203,0.376632362,0.154524641,-0.701321817,0.808828806,0.096809964,0.228705694,0.443702517,0.196584562,-0.5274797,0.411270508,-0.021112994,0.257303003,-0.345785188,0.41811752,0.418334696,-0.343335476,0.671766367,-0.379442383,0.073359705,0.389017791,0.247349601,0.14398895,0.406291786,0.776717286,-0.583361044,-0.168991468,-0.357534167,0.451227162,0.362038985,0.629293429,-0.494164709,0.378672164,0.476175388,0.05945857,0.068656074
-0.56960794,0.136089179,0.527266767,-0.219150991,0.233954492,0.650423944,-0.078816697,-0.406177787,-0.156618729,-0.358609869,-0.330848427,-0.358344363,1,0.138244747,0.360054521,0.529400412,0.626943948,-0.140765263,-0.600254091,-0.268346042,-0.254534179,0.153738686,0.020079416,0.55657543,-0.557412074,0.316407768,0.790986734,0.590115861,0.641459007,-0.167024842,-0.133893593,0.626682917,-0.35490232,-0.185403098,0.5503776,0.140499933,0.333988546,0.45012988,-0.213991067,-0.049095595,-0.563754142,0.562662772,-0.451575789,0.438027807,0.463576006,-0.038305644,-0.433303551,0.398164408,-0.02641153,0.554138495,0.822507699
-0.364196657,0.191058579,0.376002462,-0.484926584,0.27925627,0.35334107,0.445685378,0.15636104,0.707477868,-0.547530593,-0.365967811,-0.196083256,0.138244747,1,0.551378967,0.107136028,0.1013144,-0.04723745,-0.27164599,-0.029478765,0.214934591,0.448334997,0.550927021,0.399816167,-0.336285404,0.250744029,0.186047818,0.244456339,0.190250299,0.105375985,0.353718404,0.530465344,0.32692616,-0.450332414,0.036194204,0.333371934,-0.153991481,0.046550834,0.213704217,0.275248019,-0.387103108,0.185845273,-0.491186392,-0.290178544,0.28015676,0.013112659,-0.269424558,0.201343956,-0.006400228,0.550369862,0.186003652
-0.030589798,-0.174887684,0.126128675,-0.170926031,-0.007164916,0.627486357,-0.021482848,0.053406316,0.279736925,-0.669850792,-0.320501787,0.178918815,0.360054521,0.551378967,1,0.473271271,0.649995799,0.370593591,-0.747098059,-0.118681171,0.178271922,0.113014573,0.401912457,0.61195833,-0.633984668,0.721498809,0.391362842,0.617953659,0.289955887,-0.15549277,0.055699115,0.707143902,-0.16379767,-0.140455825,0.300579957,0.406194548,0.459378291,0.216358362,0.078567527,0.004847136,-0.73336769,0.47325959,-0.197249317,0.172791649,0.136607683,-0.055671578,-0.478704245,0.238237208,0.280807153,0.600330112,0.538444211
-0.37354309,0.636768489,0.261370573,-0.270143049,-0.004470707,0.690903077,-0.190209906,-0.479078426,0.098856277,-0.656104661,-0.63895652,0.201216203,0.529400412,0.107136028,0.473271271,1,0.758888741,0.231832591,-0.7605863,0.090847197,-0.24267427,0.299719657,0.282026858,0.659190165,-0.684366648,0.639953873,0.452412035,0.888572296,0.341431819,0.047698484,-0.254213514,0.564416484,-0.247277256,-0.432269675,0.769803873,0.211589793,0.60902707,0.613323304,-0.31683671,0.113683815,-0.768822048,0.861634793,-0.38329675,0.364985482,0.018020503,0.316059573,-0.707834026,0.354383919,-0.079232121,0.711892515,0.655146474
-0.169408067,0.073258679,0.14061521,-0.065497438,-0.082742192,0.809163458,-0.18168305,-0.469530772,-0.403433594,-0.642929678,-0.45278783,0.376632362,0.626943948,0.1013144,0.649995799,0.758888741,1,0.315276925,-0.846227012,-0.080359137,-0.072452104,0.101230021,0.158559548,0.693984331,-0.767211316,0.802747581,0.50370167,0.875490212,0.457138905,-0.20352536,-0.115779865,0.685169159,-0.273016285,-0.228319488,0.634966794,0.311121738,0.795845955,0.428043077,-0.228231766,0.036437649,-0.816109909,0.706945451,-0.300631108,0.525032373,0.059117628,0.013171086,-0.704412737,0.310628095,0.309017679,0.687465827,0.75567649
0.795802491,-0.018248323,-0.366465174,0.479976264,-0.65601261,0.153254304,-0.160684357,0.267133319,-0.539696076,-0.277046467,-0.00366528,0.154524641,-0.140765263,-0.04723745,0.370593591,0.231832591,0.315276925,1,-0.363609788,0.193551679,0.290724344,-0.110282229,0.156247814,-0.024095838,-0.41688736,0.637135977,-0.233340088,0.163290752,-0.416421292,0.116842723,-0.05337344,0.277654626,-0.235603046,0.454954991,-0.157604899,0.365952357,0.574830812,-0.185003759,-0.065905965,0.03947829,-0.418345358,0.038854748,0.484657036,0.333693678,-0.363409676,0.22781618,-0.051934536,-0.321873988,0.566683523,0.001410302,0.273962345
0.693033967,-0.665500377,-0.274663727,0.251813713,-0.015394289,-0.890447739,-0.055269837,0.258537775,-0.285295507,0.793654605,0.684236479,-0.701321817,-0.600254091,-0.27164599,-0.747098059,-0.7605863,-0.846227012,-0.363609788,1,-0.165053866,0.029767821,-0.364822344,-0.392090039,-0.766190273,0.894290267,-0.734292519,-0.608818749,-0.752948495,-0.418102824,-0.142183748,-0.069927506,-0.729941143,0.156315142,0.338202236,-0.478336899,-0.57373636,-0.63942106,-0.463138425,-0.040462494,-0.201642129,0.967083888,-0.629900291,0.40729591,-0.473320007,-0.318587883,-0.290120613,0.738207738,-0.502273953,-0.340922647,-0.658623935,-0.836277596
-0.260459196,0.435338016,-0.168636054,-0.280061559,-0.452727694,-0.037057534,0.47420391,-0.00227568,0.160861043,-0.236476799,-0.416796015,0.808828806,-0.268346042,-0.029478765,-0.118681171,0.090847197,-0.080359137,0.193551679,-0.165053866,1,0.199399681,0.6283542,0.236391246,0.106740035,-0.25685258,0.002064926,-0.261290398,-0.101216456,-0.433659385,0.733087672,0.13468927,-0.07143396,0.310276021,-0.296556207,-0.108793855,0.194232043,0.01371714,-0.247594887,0.052342099,0.812478049,-0.206660353,-0.094755736,-0.333391172,0.302838238,0.082945793,0.729522887,-0.113898942,-0.038428375,0.300251188,-0.03905229,-0.070136878
0.122211411,-0.057407617,-0.185453478,0.139070056,-0.370482816,-0.115293645,0.368814104,0.193366763,-0.052339308,0.000589832,0.014022232,0.096809964,-0.254534179,0.214934591,0.178271922,-0.24267427,-0.072452104,0.290724344,0.029767821,0.199399681,1,0.203467415,0.011987642,-0.275536048,-0.248578845,-0.019290795,-0.342804211,-0.175056466,-0.037704824,0.272258199,0.470376137,0.212567393,0.347214654,0.25479615,-0.316620302,0.208704667,-0.100195073,-0.419296109,0.169341079,0.36333507,-0.051681132,-0.371745475,0.193903803,0.176038608,-0.204307747,0.27449286,0.417394132,-0.43384928,0.173923627,-0.003893511,-0.173425726
-0.537840376,0.570879982,0.409061809,-0.494261326,-0.041864628,0.294380888,0.663837297,-0.139062009,0.556206761,-0.465552489,-0.641617295,0.228705694,0.153738686,0.448334997,0.113014573,0.299719657,0.101230021,-0.110282229,-0.364822344,0.6283542,0.203467415,1,0.259952266,0.394514399,-0.535589058,0.013612636,0.149050767,0.177316427,0.154067082,0.750595592,0.364510697,0.388685415,0.404833999,-0.603047928,0.182702702,0.362345899,-0.051403566,-0.035076441,0.145331629,0.814721554,-0.48109315,0.22507333,-0.681004872,0.098281828,0.373608443,0.500050449,-0.360547304,0.165333094,0.099362995,0.377271599,0.235226715
-0.557594867,0.578771275,-0.050663417,-0.626165935,0.272608213,0.421591449,0.376164012,0.220719856,0.316970073,-0.678626262,-0.594367451,0.443702517,0.020079416,0.550927021,0.401912457,0.282026858,0.158559548,0.156247814,-0.392090039,0.236391246,0.011987642,0.259952266,1,0.37494187,-0.308105297,0.377334954,0.181563298,0.269781543,-0.045151205,0.077366661,0.330124413,0.073966749,0.427171472,-0.511960895,0.043524884,0.520034729,-0.098196548,0.471988108,0.332301561,0.222183168,-0.394023246,0.193261917,-0.351633627,-0.245068567,0.181091734,0.392994301,-0.5011996,0.445133616,0.04419039,0.492839706,0.249627194
-0.650807941,0.343110753,0.449997561,-0.448208877,0.18432319,0.740010366,-0.037506886,-0.463704064,0.683614499,-0.759015595,-0.569953431,0.196584562,0.55657543,0.399816167,0.61195833,0.659190165,0.693984331,-0.024095838,-0.766190273,0.106740035,-0.275536048,0.394514399,0.37494187,1,-0.590162478,0.597917236,0.576773847,0.690008344,0.336654811,-0.10092484,-0.074459308,0.521272199,-0.105919515,-0.628741801,0.537474655,0.370880953,0.459740448,0.447773793,-0.00765669,0.178955503,-0.753599815,0.67826802,-0.647459021,0.212380379,0.286420321,0.008265733,-0.829207131,0.612178495,0.181915555,0.730101232,0.625273126
0.673037321,-0.67062714,-0.254179332,0.190459147,0.176419719,-0.815732726,-0.26976972,0.265913594,0.250735138,0.723883269,0.703097831,-0.5274797,-0.557412074,-0.336285404,-0.633984668,-0.684366648,-0.767211316,-0.41688736,0.894290267,-0.25685258,-0.248578845,-0.535589058,-0.308105297,-0.590162478,1,-0.61798913,-0.479285414,-0.692653944,-0.401915215,-0.33871735,-0.289171028,-0.805628576,-0.043965139,0.288593885,-0.433967482,-0.61775558,-0.582960967,-0.264025295,0.032394028,-0.416519252,0.945717088,-0.500393821,0.416441079,-0.584444786,-0.314448427,-0.434548272,0.556493976,-0.239119326,-0.36618533,-0.694596005,-0.779672748
0.117420688,0.050060469,-0.020515006,0.087578389,-0.298445969,0.615127317,-0.268165698,-0.15512584,-0.438576667,-0.668890104,-0.254669432,0.411270508,0.316407768,0.250744029,0.721498809,0.639953873,0.802747581,0.637135977,-0.734292519,0.002064926,-0.019290795,0.013612636,0.377334954,0.597917236,-0.61798913,1,0.149555412,0.737953864,0.059763546,-0.171774974,-0.229789812,0.597491971,-0.305240645,-0.077436127,0.409562199,0.284040943,0.81380222,0.207128178,-0.223274925,0.029885916,-0.750419758,0.608126372,-0.058527354,0.286958701,-0.238160139,-0.021180151,-0.648476115,0.117161,0.417183136,0.514286369,0.588515428
-0.49893156,0.50480376,0.456372248,-0.426728108,0.531527039,0.762227594,0.045218485,-0.355116924,0.344942231,-0.527396159,-0.554758577,-0.021112994,0.790986734,0.186047818,0.391362842,0.452412035,0.50370167,-0.233340088,-0.608818749,-0.261290398,-0.342804211,0.149050767,0.181563298,0.576773847,-0.479285414,0.149555412,1,0.462962051,0.628545202,-0.156666789,0.069870702,0.452055201,-0.164915841,-0.370451407,0.393892055,0.422560267,0.079992425,0.700545247,0.217025232,-0.192136622,-0.532413877,0.443811174,-0.499730052,0.213546844,0.698008647,0.061861979,-0.528749733,0.725068637,0.0073153,0.557998817,0.780093071
-0.375086704,0.472662777,0.222657053,-0.218804684,0.016378415,0.769318059,-0.222051331,-0.536875133,-0.110277522,-0.66837635,-0.520487685,0.257303003,0.590115861,0.244456339,0.617953659,0.888572296,0.875490212,0.163290752,-0.752948495,-0.101216456,-0.175056466,0.177316427,0.269781543,0.690008344,-0.692653944,0.737953864,0.462962051,1,0.506859522,-0.138293497,-0.200856799,0.686684603,-0.211179598,-0.432538944,0.852926925,0.140477336,0.676154001,0.523780896,-0.426106903,0.032595718,-0.760737833,0.886872319,-0.445204588,0.369617868,-0.010628988,0.094292745,-0.724294382,0.270262198,-0.046893172,0.809430732,0.666682641
-0.451066035,0.091112362,0.531236704,-0.164677309,0.551536911,0.554298421,-0.036864467,-0.402086571,0.226036113,-0.189720434,-0.329460126,-0.345785188,0.641459007,0.190250299,0.289955887,0.341431819,0.457138905,-0.416421292,-0.418102824,-0.433659385,-0.037704824,0.154067082,-0.045151205,0.336654811,-0.401915215,0.059763546,0.628545202,0.506859522,1,-0.06017327,0.132590347,0.522697567,-0.073375466,-0.317435431,0.571776857,0.059616992,0.094966335,0.464693559,-0.109240689,-0.204317164,-0.355473659,0.495934456,-0.375138704,0.140567019,0.320262126,-0.119525649,-0.285333999,0.34450602,-0.357822121,0.46551641,0.485820172
-0.265569437,0.552243888,0.073973886,-0.110780022,-0.243207846,0.007674163,0.538044789,0.080439237,0.193503186,-0.110886045,-0.404462495,0.41811752,-0.167024842,0.105375985,-0.15549277,0.047698484,-0.20352536,0.116842723,-0.142183748,0.733087672,0.272258199,0.750595592,0.077366661,-0.10092484,-0.33871735,-0.171774974,-0.156666789,-0.138293497,-0.06017327,1,0.311957883,0.161370065,0.339585199,-0.224025309,-0.052750674,0.201014727,-0.103373811,-0.268515463,0.090033099,0.699890374,-0.224419219,-0.082237152,-0.260437928,0.136089647,0.21129786,0.686895437,0.019214842,-0.12418635,0.105865519,-0.126080564,0.019428769
-0.203660769,0.290688969,0.022143234,-0.314263696,0.191856624,0.194947003,0.782091689,0.254962022,-0.065672026,-0.148885113,-0.369419173,0.418334696,-0.133893593,0.353718404,0.055699115,-0.254213514,-0.115779865,-0.05337344,-0.069927506,0.13468927,0.470376137,0.364510697,0.330124413,-0.074459308,-0.289171028,-0.229789812,0.069870702,-0.200856799,0.132590347,0.311957883,1,0.003716889,0.833660884,-0.208806039,-0.33778157,0.663837639,-0.262684155,-0.031692427,0.595857748,0.376241172,-0.138491909,-0.455823299,-0.192960499,-0.071419861,0.487186691,0.22793545,0.023321316,0.173406418,0.246101082,0.17375298,-0.045757593
-0.227006433,0.109226154,0.45278253,-0.041044398,-0.080871298,0.687834218,0.05523678,-0.247903982,0.191785854,-0.579765251,-0.39741945,-0.343335476,0.626682917,0.530465344,0.707143902,0.564416484,0.685169159,0.277654626,-0.729941143,-0.07143396,0.212567393,0.388685415,0.073966749,0.521272199,-0.805628576,0.597491971,0.452055201,0.686684603,0.522697567,0.161370065,0.003716889,1,-0.250082777,-0.146054515,0.456351158,0.26834518,0.512722633,0.095612721,-0.217774513,0.191383183,-0.800804115,0.585000894,-0.365993659,0.422203946,0.190525164,0.084706111,-0.389280629,0.085612507,0.16114064,0.610969569,0.716297976
-0.470484787,0.490067614,-0.172504208,-0.486759822,0.169527064,0.010923474,0.756144067,0.093850948,0.137578062,-0.132891731,-0.359668906,0.671766367,-0.35490232,0.32692616,-0.16379767,-0.247277256,-0.273016285,-0.235603046,0.156315142,0.310276021,0.347214654,0.404833999,0.427171472,-0.105919515,-0.043965139,-0.305240645,-0.164915841,-0.211179598,-0.073375466,0.339585199,0.833660884,-0.250082777,1,-0.468066595,-0.201752545,0.370375864,-0.391719778,-0.03373596,0.477966389,0.522071081,0.069642071,-0.414577355,-0.335143251,-0.302634728,0.301059465,0.313982264,-0.04845945,0.125324571,0.090981168,0.120470724,-0.304089951
0.881652007,-0.567418193,-0.327580235,0.761801125,-0.44047769,-0.479645946,-0.340317047,0.485627974,-0.653569252,0.599483164,0.738132867,-0.379442383,-0.185403098,-0.450332414,-0.140455825,-0.432269675,-0.228319488,0.454954991,0.338202236,-0.296556207,0.25479615,-0.603047928,-0.511960895,-0.628741801,0.288593885,-0.077436127,-0.370451407,-0.432538944,-0.317435431,-0.224025309,-0.208806039,-0.146054515,-0.468066595,1,-0.50293921,-0.191325362,0.088195693,-0.471098779,-0.103434956,-0.392566538,0.365812463,-0.460478324,0.847894966,0.158462206,-0.383495156,-0.289733539,0.689533257,-0.582433082,0.160297852,-0.5904628,-0.224192231
-0.419688039,0.335607792,0.181285404,-0.177315894,0.077464055,0.517984537,-0.33466462,-0.696184768,0.015656033,-0.379525321,-0.369595101,0.073359705,0.5503776,0.036194204,0.300579957,0.769803873,0.634966794,-0.157604899,-0.478336899,-0.108793855,-0.316620302,0.182702702,0.043524884,0.537474655,-0.433967482,0.409562199,0.393892055,0.852926925,0.571776857,-0.052750674,-0.33778157,0.456351158,-0.201752545,-0.50293921,1,-0.203145474,0.4626278,0.472066659,-0.565975768,0.000169202,-0.464125607,0.867753331,-0.467002522,0.234216645,-0.035337719,0.075922223,-0.585835138,0.147375298,-0.292380174,0.605077841,0.480692466
-0.136237382,0.694751418,0.099744548,-0.313479005,0.093455026,0.609998241,0.514542735,0.181017574,0.129894763,-0.623099292,-0.613353984,0.389017791,0.140499933,0.333371934,0.406194548,0.211589793,0.311121738,0.365952357,-0.57373636,0.194232043,0.208704667,0.362345899,0.520034729,0.370880953,-0.61775558,0.284040943,0.422560267,0.140477336,0.059616992,0.201014727,0.663837639,0.26834518,0.370375864,-0.191325362,-0.203145474,1,0.124925059,0.324644402,0.615924589,0.231629876,-0.605459695,-0.060210111,-0.200399809,0.138748409,0.468917958,0.342689055,-0.390547378,0.474514845,0.484919143,0.444725721,0.446149327
0.404681542,-0.322031355,0.009023486,0.356390068,-0.468364861,0.49601619,-0.383242133,-0.343012696,-0.804752486,-0.337885742,-0.100355904,0.247349601,0.333988546,-0.153991481,0.459378291,0.60902707,0.795845955,0.574830812,-0.63942106,0.01371714,-0.100195073,-0.051403566,-0.098196548,0.459740448,-0.582960967,0.81380222,0.079992425,0.676154001,0.094966335,-0.103373811,-0.262684155,0.512722633,-0.391719778,0.088195693,0.4626278,0.124925059,1,0.025296666,-0.422143079,0.031226054,-0.652527906,0.518696958,0.045114987,0.573672476,-0.221187266,-0.098135252,-0.498921934,-0.021192411,0.445844939,0.309486235,0.510488587
-0.524065323,0.789064694,0.177026217,-0.518431232,0.626222535,0.623416151,-0.108105884,-0.30474057,0.328112888,-0.508804808,-0.605747609,0.14398895,0.45012988,0.046550834,0.216358362,0.613323304,0.428043077,-0.185003759,-0.463138425,-0.247594887,-0.419296109,-0.035076441,0.471988108,0.447773793,-0.264025295,0.207128178,0.700545247,0.523780896,0.464693559,-0.268515463,-0.031692427,0.095612721,-0.03373596,-0.471098779,0.472066659,0.324644402,0.025296666,1,0.167064994,-0.311885639,-0.360582118,0.521769794,-0.320875183,-0.069233759,0.277128124,0.2039957,-0.573227612,0.740742633,-0.313257501,0.5670886,0.488623508
-0.20895393,0.41977856,-0.066881342,-0.357607542,0.396142966,0.109298442,0.536673852,0.3992054,0.668320086,-0.203404844,-0.22951313,0.406291786,-0.213991067,0.213704217,0.078567527,-0.31683671,-0.228231766,-0.065905965,-0.040462494,0.052342099,0.169341079,0.145331629,0.332301561,-0.00765669,0.032394028,-0.223274925,0.217025232,-0.426106903,-0.109240689,0.090033099,0.595857748,-0.217774513,0.477966389,-0.103434956,-0.565975768,0.615924589,-0.422143079,0.167064994,1,0.085000059,-0.006710872,-0.500934858,-0.015037309,-0.432799092,0.483420937,0.068800101,-0.073067645,0.509708398,0.348403083,-0.123614393,-0.059101966
-0.386325965,0.386688366,0.009605957,-0.417066275,-0.372665199,0.077846142,0.725036772,-0.02576301,0.046925681,-0.287300812,-0.430063885,0.776717286,-0.049095595,0.275248019,0.004847136,0.113683815,0.036437649,0.03947829,-0.201642129,0.812478049,0.36333507,0.814721554,0.222183168,0.178955503,-0.416519252,0.029885916,-0.192136622,0.032595718,-0.204317164,0.699890374,0.376241172,0.191383183,0.522071081,-0.392566538,0.000169202,0.231629876,0.031226054,-0.311885639,0.085000059,1,-0.317771478,-0.071548201,-0.540518791,0.222139225,0.227268124,0.549230067,-0.175658489,-0.059851082,0.306988119,0.177265558,-0.007809014
0.850143925,-0.772222495,-0.323297032,0.241678783,0.080123782,-0.876929634,-0.143534918,0.26833378,-0.249529951,0.830893014,0.70452636,-0.583361044,-0.563754142,-0.387103108,-0.73336769,-0.768822048,-0.816109909,-0.418345358,0.967083888,-0.206660353,-0.051681132,-0.48109315,-0.394023246,-0.753599815,0.945717088,-0.750419758,-0.532413877,-0.760737833,-0.355473659,-0.224419219,-0.138491909,-0.800804115,0.069642071,0.365812463,-0.464125607,-0.605459695,-0.652527906,-0.360582118,-0.006710872,-0.317771478,1,-0.617910436,0.442597997,-0.465255823,-0.295650791,-0.313007633,0.729098364,-0.406609775,-0.377602396,-0.710563122,-0.819881623
-0.32029237,0.374717707,0.367151429,-0.171000049,0.115235569,0.589096261,-0.376198111,-0.522732741,0.367950744,-0.563787978,-0.439758374,-0.168991468,0.562662772,0.185845273,0.47325959,0.861634793,0.706945451,0.038854748,-0.629900291,-0.094755736,-0.371745475,0.22507333,0.193261917,0.67826802,-0.500393821,0.608126372,0.443811174,0.886872319,0.495934456,-0.082237152,-0.455823299,0.585000894,-0.414577355,-0.460478324,0.867753331,-0.060210111,0.518696958,0.521769794,-0.500934858,-0.071548201,-0.617910436,1,-0.412399997,0.214417632,-0.095502323,0.035598337,-0.687367058,0.244724236,-0.237962431,0.660035253,0.620783228
