AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KA,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1,-0.804968376,-0.359344006,0.79526474,-0.522454367,-0.683883104,-0.413828527,0.382379891,-0.41578674,0.777894781,0.843692678,-0.512457654,-0.56960794,-0.364196657,-0.030589798,-0.37354309,-0.169408067,0.795802491,0.693033967,-0.260459196,0.122211411,-0.537840376,-0.557594867,-0.650807941,0.673037321,0.117420688,-0.49893156,-0.375086704,-0.451066035,-0.265569437,-0.203660769,-0.227006433,-0.470484787,0.881652007,-0.419688039,-0.136237382,0.404681542,-0.524065323,-0.20895393,-0.386325965,0.850143925,-0.32029237,0.87679525,0.276997665,-0.499045786,-0.54408062,0.678167368,-0.612982785,0.325265568,-0.491620173,-0.423737162
-0.804968376,1,0.062116034,-0.554959859,0.356325971,0.83969348,0.445998301,-0.357973475,0.314509953,-0.793010762,-0.800849605,0.32432766,0.136089179,0.191058579,-0.174887684,0.636768489,0.073258679,-0.018248323,-0.665500377,0.435338016,-0.057407617,0.570879982,0.578771275,0.343110753,-0.67062714,0.050060469,0.50480376,0.472662777,0.091112362,0.552243888,0.290688969,0.109226154,0.490067614,-0.567418193,0.335607792,0.694751418,-0.322031355,0.789064694,0.41977856,0.386688366,-0.772222495,0.374717707,-0.495574275,-0.141816126,0.280251393,0.828310033,-0.525576689,0.646412283,-0.289496635,0.560433681,0.55886347
-0.359344006,0.062116034,1,-0.227358206,0.432558827,0.311697466,0.087760439,-0.225608717,0.594322949,-0.168377257,-0.291011984,-0.566953987,0.527266767,0.376002462,0.126128675,0.261370573,0.14061521,-0.366465174,-0.274663727,-0.168636054,-0.185453478,0.409061809,-0.050663417,0.449997561,-0.254179332,-0.020515006,0.456372248,0.222657053,0.531236704,0.073973886,0.022143234,0.45278253,-0.172504208,-0.327580235,0.181285404,0.099744548,0.009023486,0.177026217,-0.066881342,0.009605957,-0.323297032,0.367151429,-0.429559157,0.116341925,0.380972234,-0.178541654,-0.225228286,0.39583068,-0.279603893,0.347134311,0.373070524
0.79526474,-0.554959859,-0.227358206,1,-0.512161221,-0.367704477,-0.587245895,0.069388688,-0.459385512,0.513109954,0.669760013,-0.41125129,-0.219150991,-0.484926584,-0.170926031,-0.270143049,-0.065497438,0.479976264,0.251813713,-0.280061559,0.139070056,-0.494261326,-0.626165935,-0.448208877,0.190459147,0.087578389,-0.426728108,-0.218804684,-0.164677309,-0.110780022,-0.314263696,-0.041044398,-0.486759822,0.761801125,-0.177315894,-0.313479005,0.356390068,-0.518431232,-0.357607542,-0.417066275,0.241678783,-0.171000049,0.797322555,0.188558107,-0.559206506,-0.362394058,0.440623715,-0.652395665,0.214232104,-0.544043365,-0.120487511
-0.522454367,0.356325971,0.432558827,-0.512161221,1,0.247357249,0.097896368,-0.030049174,0.728872882,-0.097789121,-0.272881174,-0.227128024,0.233954492,0.27925627,-0.007164916,-0.004470707,-0.082742192,-0.65601261,-0.015394289,-0.452727694,-0.370482816,-0.041864628,0.272608213,0.18432319,0.176419719,-0.298445969,0.531527039,0.016378415,0.551536911,-0.243207846,0.191856624,-0.080871298,0.169527064,-0.44047769,0.077464055,0.093455026,-0.468364861,0.626222535,0.396142966,-0.372665199,0.080123782,0.115235569,-0.318350338,-0.488974296,0.444639507,-0.196330428,-0.20872268,0.695183833,-0.489391323,0.184314454,0.084902256
-0.683883104,0.83969348,0.311697466,-0.367704477,0.247357249,1,0.108537699,-0.419154275,0.180262686,-0.83292886,-0.739334427,0.479914888,0.650423944,0.35334107,0.627486357,0.690903077,0.809163458,0.153254304,-0.890447739,-0.037057534,-0.115293645,0.294380888,0.421591449,0.740010366,-0.815732726,0.615127317,0.762227594,0.769318059,0.554298421,0.007674163,0.194947003,0.687834218,0.010923474,-0.479645946,0.517984537,0.609998241,0.49601619,0.623416151,0.109298442,0.077846142,-0.876929634,0.589096261,-0.539001182,0.338367621,0.441141649,0.225194692,-0.783563859,0.639265829,0.246598865,0.762103335,0.844129238
-0.413828527,0.445998301,0.087760439,-0.587245895,0.097896368,0.108537699,1,0.30891034,0.117325359,-0.226842084,-0.464959614,0.583908455,-0.078816697,0.445685378,-0.021482848,-0.190209906,-0.18168305,-0.160684357,-0.055269837,0.47420391,0.368814104,0.663837297,0.376164012,-0.037506886,-0.26976972,-0.268165698,0.045218485,-0.222051331,-0.036864467,0.538044789,0.782091689,0.05523678,0.756144067,-0.340317047,-0.33466462,0.514542735,-0.383242133,-0.108105884,0.536673852,0.725036772,-0.143534918,-0.376198111,-0.476939431,-0.063933632,0.575604438,0.417777149,-0.028055463,0.180302125,0.218340004,0.164815909,-0.057784668
0.382379891,-0.357973475,-0.225608717,0.069388688,-0.030049174,-0.419154275,0.30891034,1,-0.188052748,0.269159427,0.324316716,-0.13416081,-0.406177787,0.15636104,0.053406316,-0.479078426,-0.469530772,0.267133319,0.258537775,-0.00227568,0.193366763,-0.139062009,0.220719856,-0.463704064,0.265913594,-0.15512584,-0.355116924,-0.536875133,-0.402086571,0.080439237,0.254962022,-0.247903982,0.093850948,0.485627974,-0.696184768,0.181017574,-0.343012696,-0.30474057,0.3992054,-0.02576301,0.26833378,-0.522732741,0.442851994,-0.365658499,-0.011180518,-0.087077669,0.431473831,-0.219599264,0.085294584,-0.393580139,-0.364460154
-0.41578674,0.314509953,0.594322949,-0.459385512,0.728872882,0.180262686,0.117325359,-0.188052748,1,-0.580344802,-0.501622211,-0.196656354,-0.156618729,0.707477868,0.279736925,0.098856277,-0.403433594,-0.539696076,-0.285295507,0.160861043,-0.052339308,0.556206761,0.316970073,0.683614499,0.250735138,-0.438576667,0.344942231,-0.110277522,0.226036113,0.193503186,-0.065672026,0.191785854,0.137578062,-0.653569252,0.015656033,0.129894763,-0.804752486,0.328112888,0.668320086,0.046925681,-0.249529951,0.367950744,-0.434095145,-0.867858312,0.235170956,0.113335812,-0.324752839,0.599645544,-0.396174678,0.284432259,-0.0351709
0.777894781,-0.793010762,-0.168377257,0.513109954,-0.097789121,-0.83292886,-0.226842084,0.269159427,-0.580344802,1,0.785883451,-0.510360272,-0.358609869,-0.547530593,-0.669850792,-0.656104661,-0.642929678,-0.277046467,0.793654605,-0.236476799,0.000589832,-0.465552489,-0.678626262,-0.759015595,0.723883269,-0.668890104,-0.527396159,-0.66837635,-0.189720434,-0.110886045,-0.148885113,-0.579765251,-0.132891731,0.599483164,-0.379525321,-0.623099292,-0.337885742,-0.508804808,-0.203404844,-0.287300812,0.830893014,-0.563787978,0.567091603,-0.125558721,-0.265063886,-0.367125306,0.811303277,-0.537053462,-0.304349001,-0.761467829,-0.677985829
