ICPSRCode,state_abb,state_fips,state_name,region_code,bea_region,region
41,AL,1,Alabama,5,Southeast Region,East South Central
81,AK,2,Alaska,8,Far West Region,Pacific
61,AZ,4,Arizona,6,Southwest Region,Mountain
42,AR,5,Arkansas,5,Southeast Region,West South Central
71,CA,6,California,8,Far West Region,Pacific
62,CO,8,Colorado,7,Rocky Mountain Region,Mountain
1,CT,9,Connecticut,1,New England Region,New England
11,DE,10,Delaware,2,Mideast Region,South Atlantic
55,DC,11,District of Columbia,2,Mideast Region,South Atlantic
43,FL,12,Florida,5,Southeast Region,South Atlantic
44,GA,13,Georgia,5,Southeast Region,South Atlantic
82,HI,15,Hawaii,8,Far West Region,Pacific
63,ID,16,Idaho,7,Rocky Mountain Region,Mountain
21,IL,17,Illinois,3,Great Lakes Region,East North Central
22,IN,18,Indiana,3,Great Lakes Region,East North Central
31,IA,19,Iowa,4,Plains Region,West North Central
32,KS,20,Kansas,4,Plains Region,West North Central
51,KY,21,Kentucky,5,Southeast Region,East South Central
45,LA,22,Louisiana,5,Southeast Region,East South Central
2,ME,23,Maine,1,New England Region,New England
52,MD,24,Maryland,2,Mideast Region,South Atlantic
3,MA,25,Massachusetts,1,New England Region,New England
23,MI,26,Michigan,3,Great Lakes Region,East North Central
33,MN,27,Minnesota,4,Plains Region,West North Central
46,MS,28,Mississippi,5,Southeast Region,East South Central
34,MO,29,Missouri,4,Plains Region,West North Central
64,MT,30,Montana,7,Rocky Mountain Region,Mountain
35,NE,31,Nebraska,4,Plains Region,West North Central
65,NV,32,Nevada,8,Far West Region,Mountain
4,NH,33,New Hampshire,1,New England Region,New England
12,NJ,34,New Jersey,2,Mideast Region,Middle Atlantic
66,NM,35,New Mexico,6,Southwest Region,Mountain
13,NY,36,New York,2,Mideast Region,Middle Atlantic
47,NC,37,North Carolina,5,Southeast Region,South Atlantic
36,ND,38,North Dakota,4,Plains Region,West North Central
24,OH,39,Ohio,3,Great Lakes Region,East North Central
53,OK,40,Oklahoma,6,Southwest Region,West South Central
72,OR,41,Oregon,8,Far West Region,Pacific
14,PA,42,Pennsylvania,2,Mideast Region,Middle Atlantic
5,RI,44,Rhode Island,1,New England Region,New England
48,SC,45,South Carolina,5,Southeast Region,South Atlantic
37,SD,46,South Dakota,4,Plains Region,West North Central
54,TN,47,Tennessee,5,Southeast Region,East South Central
49,TX,48,Texas,6,Southwest Region,West South Central
67,UT,49,Utah,7,Rocky Mountain Region,Mountain
6,VT,50,Vermont,1,New England Region,New England
40,VA,51,Virginia,5,Southeast Region,South Atlantic
73,WA,53,Washington,8,Far West Region,Pacific
56,WV,54,West Virginia,5,Southeast Region,South Atlantic
25,WI,55,Wisconsin,3,Great Lakes Region,East North Central
68,WY,56,Wyoming,7,Rocky Mountain Region,Mountain
