year,ANES_share_swing_voters
1952,0.19220308250226653
1956,0.16506550218340613
1960,0.13629283489096572
1964,0.1645933014354067
1968,0.1581450653983353
1972,0.26675881133379403
1976,0.1706472827968155
1980,0.18022528160200252
1984,0.13513513513513514
1988,0.12679856115107915
1992,0.10016107851435202
1996,0.10417156921911999
2000,0.10683291334772747
2004,0.08699254981233293
2008,0.09439348472136562
2012,0.07308102767736921
2016,0.08181745510288792
