state_fips,pop,area,pop_density
,308745538(r38234),3531905.43,87.4
1,4779736(r38235),50645.33,94.4
2,710231(r38823),570640.95,1.2
4,6392017,113594.08,56.3
5,2915918(r39193),52035.48,56
6,37253956,155779.22,239.1
8,5029196,103641.89,48.5
9,3574097,4842.36,738.1
10,897934,1948.54,460.8
11,601723(r39494),61.05,9856.5
12,18801310(r40184),53624.76,350.6
13,9687653(r41102),57513.49,168.4
15,1360301,6422.63,211.8
16,1567582(r41542),82643.12,19
17,12830632,55518.93,231.1
18,6483802,35826.11,181
19,3046355,55857.13,54.5
20,2853118,81758.72,34.9
21,4339367,39486.34,109.9
22,4533372,43203.9,104.9
23,1328361,30842.92,43.1
24,5773552(r42264),9707.24,594.8
25,6547629,7800.06,839.4
26,9883640(r45127),56538.9,174.8
27,5303925,79626.74,66.6
28,2967297,46923.27,63.2
29,5988927,68741.52,87.1
30,989415,145545.8,6.8
31,1826341,76824.17,23.8
32,2700551,109781.18,24.6
33,1316470,8952.65,147
34,8791894(r46246),7354.22,1195.5
35,2059179(r46748),121298.15,17
36,19378102,47126.4,411.2
37,9535483,48617.91,196.1
38,672591,69000.8,9.7
39,11536504,40860.69,282.3
40,3751351,68594.92,54.7
41,3831074,95988.01,39.9
42,12702379,44742.7,283.9
44,1052567,1033.81,1018.1
45,4625364,30060.7,153.9
46,814180(r48166),75811,10.7
47,6346105,41234.9,153.9
48,25145561(r48514),261231.71,96.3
49,2763885,82169.62,33.6
50,625741,9216.66,67.9
51,8001024,39490.09,202.6
53,6724540,66455.52,101.2
54,1852994,24038.21,77.1
55,5686986,54157.8,105
56,563626,97093.14,5.8
