t,prob
2016-02-29,0.863
2016-03-01,0.8773333333333333
2016-03-02,0.8753333333333333
2016-03-03,0.8733333333333333
2016-03-04,0.859
2016-03-05,0.8653333333333333
2016-03-06,0.871
2016-03-07,0.8446666666666667
2016-03-08,0.8213333333333334
2016-03-09,0.82
2016-03-10,0.8243333333333334
2016-03-11,0.8403333333333334
2016-03-12,0.839
2016-03-13,0.838
2016-03-14,0.849
2016-03-15,0.8616666666666667
2016-03-16,0.8803333333333333
2016-03-17,0.8883333333333333
2016-03-18,0.8866666666666667
2016-03-19,0.892
2016-03-20,0.8923333333333333
2016-03-21,0.8866666666666667
2016-03-22,0.8853333333333333
2016-03-23,0.879
2016-03-24,0.8776666666666667
2016-03-25,0.8786666666666667
2016-03-26,0.8913333333333333
2016-03-27,0.9113333333333333
2016-03-28,0.928
2016-03-29,0.9363333333333334
2016-03-30,0.9436666666666667
2016-03-31,0.9326666666666666
2016-04-01,0.9136666666666666
2016-04-02,0.89
2016-04-03,0.8623333333333333
2016-04-04,0.8483333333333334
2016-04-05,0.8546666666666667
2016-04-06,0.8683333333333333
2016-04-07,0.8876666666666667
2016-04-08,0.895
2016-04-09,0.8956666666666667
2016-04-10,0.9003333333333333
2016-04-11,0.9066666666666666
2016-04-12,0.901
2016-04-13,0.9016666666666666
2016-04-14,0.8976666666666666
2016-04-15,0.9006666666666666
2016-04-16,0.9013333333333333
2016-04-17,0.9026666666666666
2016-04-18,0.907
2016-04-19,0.891
2016-04-20,0.882
2016-04-21,0.8743333333333333
2016-04-22,0.8663333333333333
2016-04-23,0.8563333333333333
2016-04-24,0.849
2016-04-25,0.842
2016-04-26,0.825
2016-04-27,0.8076666666666666
2016-04-28,0.8036666666666666
2016-04-29,0.777
2016-04-30,0.759
2016-05-01,0.739
2016-05-02,0.729
2016-05-03,0.7146666666666667
2016-05-04,0.7023333333333334
2016-05-05,0.7063333333333334
2016-05-06,0.7136666666666667
2016-05-07,0.6713333333333333
2016-05-08,0.6376666666666667
2016-05-09,0.5963333333333334
2016-05-10,0.5786666666666667
2016-05-11,0.567
2016-05-12,0.5576666666666666
2016-05-13,0.576
2016-05-14,0.575
2016-05-15,0.5753333333333334
2016-05-16,0.569
2016-05-17,0.5613333333333334
2016-05-18,0.5826666666666667
2016-05-19,0.5733333333333334
2016-05-20,0.585
2016-05-21,0.5893333333333334
2016-05-22,0.5963333333333334
2016-05-23,0.598
2016-05-24,0.575
2016-05-25,0.5586666666666666
2016-05-26,0.5976666666666667
2016-05-27,0.622
2016-05-28,0.657
2016-05-29,0.698
2016-05-30,0.6923333333333334
2016-05-31,0.674
2016-06-01,0.6666666666666666
2016-06-02,0.69
2016-06-03,0.7386666666666667
2016-06-04,0.7853333333333333
2016-06-05,0.791
2016-06-06,0.7783333333333333
2016-06-07,0.7693333333333333
2016-06-08,0.749
2016-06-09,0.773
2016-06-10,0.7883333333333333
2016-06-11,0.7776666666666666
2016-06-12,0.7816666666666666
2016-06-13,0.742
2016-06-14,0.7166666666666667
2016-06-15,0.6833333333333333
2016-06-16,0.6696666666666666
2016-06-17,0.71
2016-06-18,0.7436666666666667
2016-06-19,0.7766666666666666
2016-06-20,0.7456666666666667
2016-06-21,0.717
2016-06-22,0.7126666666666667
2016-06-23,0.695
2016-06-24,0.688
2016-06-25,0.689
2016-06-26,0.641
2016-06-27,0.5916666666666667
2016-06-28,0.5716666666666667
2016-06-29,0.547
2016-06-30,0.5423333333333333
2016-07-01,0.5463333333333333
2016-07-02,0.5596666666666666
2016-07-03,0.552
2016-07-04,0.5093333333333333
2016-07-05,0.526
2016-07-06,0.546
2016-07-07,0.571
2016-07-08,0.5206666666666667
2016-07-09,0.509
2016-07-10,0.4676666666666667
2016-07-11,0.42533333333333334
2016-07-12,0.4116666666666667
2016-07-13,0.378
2016-07-14,0.3863333333333333
2016-07-15,0.37766666666666665
